Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
FRAC_EQUAL_TO_CREDIT_ASKED,108,126,169,45,66,68,85,203,108.75
FRAC_LESS_CREDIT_THAN_ASKED,77,92,114,81,57,49,41,110,77.625
FRAC_MORE_CREDIT_THAN_ASKED,143,166,278,144,118,163,105,303,177.5
NUM_Cash loans,59,82,112,44,32,39,44,107,64.875
NUM_Consumer loans,98,73,94,58,41,29,18,113,65.5
NUM_Revolving loans,15,6,45,11,5,4,9,38,16.625
NUM_XNA,0,0,0,0,0,0,0,0,0.0
FRAC_Cash loans,196,178,260,137,99,216,177,300,195.375
FRAC_Consumer loans,142,193,254,182,143,178,162,273,190.875
FRAC_Revolving loans,85,166,103,82,47,97,82,120,97.75
FRAC_XNA,0,9,1,0,0,8,0,0,2.25
NUM_PREV_PAYMENT_TYPE_Cash through the bank,51,61,70,49,12,40,61,91,54.375
NUM_PREV_PAYMENT_TYPE_Cashless from the account of the employer,0,0,0,0,0,0,0,0,0.0
NUM_PREV_PAYMENT_TYPE_Non-cash from your account,1,0,0,0,0,0,0,0,0.125
FRAC_PREV_PAYMENT_TYPE_Cash through the bank,128,186,253,88,92,81,128,171,140.875
FRAC_PREV_PAYMENT_TYPE_Cashless from the account of the employer,3,0,0,0,1,0,12,1,2.125
FRAC_PREV_PAYMENT_TYPE_Non-cash from your account,34,20,31,14,16,1,11,24,18.875
PREV_APP_LR_PREDS,757,909,1005,771,752,761,695,1017,833.375
NUM_LATE_CC_PAYMENTS,20,15,36,19,5,9,4,30,17.25
MOST_OVERDUE_CC,5,8,15,1,10,6,2,12,7.375
AVG_CREDIT_LIMIT_ACTUAL,81,114,133,70,33,76,44,128,84.875
MAX_CREDIT_LIMIT,35,27,67,20,20,28,19,76,36.5
NUM_PREV_CC_LOANS,0,0,0,0,4,0,0,0,0.5
MAX_BALANCE,15,22,65,39,18,16,33,47,31.875
AVG_CC_BALANCE,26,22,10,6,38,18,19,31,21.25
AMT_BALANCE_STDEV,65,85,90,53,46,45,46,84,64.25
MAX_PAID_ON_CREDIT,51,81,110,53,30,39,44,106,64.25
AVG_PAID_ON_CREDIT,96,88,100,51,85,80,70,122,86.5
