Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
AMT_PAID_ON_CREDIT_STDEV,120,86,96,60,59,98,64,82,83.125
MAX_DRAWINGS_IN_MONTH,28,37,40,34,35,29,23,37,32.875
AVG_DRAWINGS_PER_MONTH,22,16,42,31,21,36,33,29,28.75
TOTAL_NUM_ALL_DRAWINGS,24,29,34,10,20,70,46,59,36.5
MIN_MONTHLY_DRAWING_AMT,54,6,28,15,25,10,36,22,24.5
MAX_MONTHLY_DRAWING_AMT,34,29,59,19,37,35,30,21,33.0
AVG_MONTHLY_DRAWING_AMT,40,24,27,50,23,38,40,31,34.125
TOTAL_AMT_ALL_DRAWINGS,46,17,69,21,86,28,34,60,45.125
MIN_DRAW_TO_TOTAL_PAY,17,28,42,11,14,3,4,21,17.5
MAX_DRAW_TO_TOTAL_PAY,44,107,90,91,72,112,106,148,96.25
AVG_DRAW_TO_TOTAL_PAY,90,45,45,35,36,54,55,102,57.75
AVG_AMT_ATM_DRAWINGS,56,40,32,49,34,43,77,55,48.25
TOTAL_AMT_ATM_DRAWINGS,34,39,61,38,61,64,71,48,52.0
STD_AMT_ATM_DRAWINGS,74,39,23,29,32,73,49,63,47.75
AVG_NUM_ATM_DRAWINGS,37,48,114,76,51,74,88,80,71.0
TOTAL_NUM_ATM_DRAWINGS,52,51,52,70,41,39,31,58,49.25
STD_NUM_ATM_DRAWINGS,42,23,93,42,49,57,58,57,52.625
AVG_AMT_POS_DRAWINGS,15,4,20,8,14,7,37,14,14.875
TOTAL_AMT_POS_DRAWINGS,42,25,21,8,37,23,66,33,31.875
STD_AMT_POS_DRAWINGS,52,35,91,46,34,64,48,63,54.125
AVG_NUM_POS_DRAWINGS,24,35,37,18,6,40,24,53,29.625
TOTAL_NUM_POS_DRAWINGS,19,2,35,6,12,17,25,41,19.625
STD_NUM_POS_DRAWINGS,44,27,60,42,49,28,25,43,39.75
AVG_AMT_OTHER_DRAWINGS,7,12,4,8,8,6,27,5,9.625
TOTAL_AMT_OTHER_DRAWINGS,23,9,24,43,29,42,26,59,31.875
STD_AMT_OTHER_DRAWINGS,29,6,55,15,24,32,34,33,28.5
AVG_NUM_OTHER_DRAWINGS,4,1,4,2,1,0,8,1,2.625
TOTAL_NUM_OTHER_DRAWINGS,33,5,2,19,4,19,3,29,14.25
STD_NUM_OTHER_DRAWINGS,34,19,22,16,9,28,48,36,26.5
MOST_RECENT_CC_MONTH,1,2,21,4,2,7,0,23,7.5
AMT_RECEIVABLE_PRINCIPAL_MIN,87,55,60,47,47,98,73,153,77.5
AMT_RECEIVABLE_PRINCIPAL_TOTAL,50,21,22,7,25,32,41,30,28.5
AMT_RECEIVABLE_PRINCIPAL_MAX,23,21,21,8,29,13,25,26,20.75
AMT_RECEIVABLE_PRINCIPAL_AVG,53,17,67,7,19,23,26,5,27.125
AMT_RECEIVABLE_MIN,24,34,51,35,32,54,49,62,42.625
AMT_RECEIVABLE_TOTAL,9,9,16,8,10,14,3,14,10.375
AMT_RECEIVABLE_MAX,3,9,20,8,3,6,14,7,8.75
AMT_RECEIVABLE_AVG,15,6,8,4,16,8,11,7,9.375
AMT_TOTAL_RECEIVABLE_MIN,14,25,26,29,22,52,45,45,32.25
